Nome, CPF, Idade,ID
Leon Scott Kennedy,123.442.331-25,27,RE007
Claire Redfield,327.198.271-21,24,RE010
Ellie Williams,849.381.739-56,14,TLOU1
Victor Sullivan,061.831.628-62,66,UNC02
Johnny Cage,648.371.629-64,34,MK042
John Marston,764.817.361-21,31,RDR01
Alan Wake,849.173.651-74,42,AW322
Arthur Morgan,985.727.648-17,36,RDR02
Ezio Auditore,263.817.498-26,29,ASC01
Elena Fisher,029.857.162-34,30,UNC86
Triss Merigold,447.816.345-75,35,TW333
Cranky Kong,543.277.140-72,81,DK001
Mario,242.456.564-29,45,MA909
Luigi,241.986.928-98,43,LU590
